downloaded,receipt,heading,detail
Mon Jul 15 16:44:59 2019,MSC1891500612,Card Was Delivered To Me By The Post Office,"On December 28, 2018, the Post Office delivered your new card for Receipt Number MSC1891500612, to the address that you gave us.  The tracking number assigned is 9205590153708644173625.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:00 2019,MSC1891500613,Case Was Received,"On July 30, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500613, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:00 2019,MSC1891500614,Interview Was Scheduled,"On July 1, 2019, we scheduled an interview for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500614.  We will mail you an interview notice.   Please follow any instructions in the notice.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:45:01 2019,MSC1891500615,Case Was Received,"On July 30, 2018, we received your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500615, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:01 2019,MSC1891500616,Form G-28 Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form G-28, Notice of Entry of Appearance as Attorney or Accredited Representative, Receipt Number MSC1891500616, because it was not filed correctly.  If you wish to be represented, please contact your attorney or accredited representative to submit a new Form G-28 to the USCIS location where your case is pending. For more information on filing a Form G-28, please visit  http://www.uscis.gov/forms/filing-your-form-g-28.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:02 2019,MSC1891500617,Card Was Picked Up By The United States Postal Service,"On December 28, 2018, the Post Office picked up mail containing your new card for Receipt Number MSC1891500617. We mailed your card to the address you gave us. The tracking number assigned is 9205590153708644256298. You can use your tracking number at www.USPS.com in the Quick Tools Tracking section. If you did not receive the card, please go to www.uscis.gov/e-request to request that we resend the card to you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:02 2019,MSC1891500618,Card Was Delivered To Me By The Post Office,"On March 19, 2019, the Post Office delivered your new card for Receipt Number MSC1891500618, to the address that you gave us.  The tracking number assigned is 9205590153708424538965.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:03 2019,MSC1891500619,Case Was Received,"On July 30, 2018, we received your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500619, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:03 2019,MSC1891500620,Card Was Delivered To Me By The Post Office,"On December 21, 2018, the Post Office delivered your new card for Receipt Number MSC1891500620, to the address that you gave us.  The tracking number assigned is 9205590153708420883250.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:03 2019,MSC1891500621,Document Was Mailed To Me,"On September 5, 2018, we mailed your document for Receipt Number MSC1891500621, directly to the address you gave us. If you do not receive your document by October 5, 2018, please go to www.uscis.gov/e-request to request the document be sent to you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:04 2019,MSC1891500622,Interview Was Scheduled,"On April 12, 2019, we scheduled an interview for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500622.  We will mail you an interview notice.   Please follow any instructions in the notice.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:45:04 2019,MSC1891500623,Case Was Received,"On July 30, 2018, we received your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500623, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:05 2019,MSC1891500624,Card Was Delivered To Me By The Post Office,"On January 30, 2019, the Post Office delivered your new card for Receipt Number MSC1891500624, to the address that you gave us.  The tracking number assigned is 9205590153708645610631.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:05 2019,MSC1891500625,Interview Was Scheduled,"On April 12, 2019, we scheduled an interview for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500625.  We will mail you an interview notice.   Please follow any instructions in the notice.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:45:06 2019,MSC1891500626,Case Was Received,"On July 30, 2018, we received your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500626, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:06 2019,MSC1891500627,Card Was Delivered To Me By The Post Office,"On January 30, 2019, the Post Office delivered your new card for Receipt Number MSC1891500627, to the address that you gave us.  The tracking number assigned is 9205590153708645610747.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:07 2019,MSC1891500628,Card Was Delivered To Me By The Post Office,"On February 9, 2019, the Post Office delivered your new card for Receipt Number MSC1891500628, to the address that you gave us.  The tracking number assigned is 9205590153708646267933.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:07 2019,MSC1891500629,Case Was Received,"On July 30, 2018, we received your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500629, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:08 2019,MSC1891500630,Card Was Delivered To Me By The Post Office,"On April 1, 2019, the Post Office delivered your new card for Receipt Number MSC1891500630, to the address that you gave us.  The tracking number assigned is 9205590153708648943675.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:08 2019,MSC1891500631,Case Was Received,"On July 30, 2018, we received your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500631, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:09 2019,MSC1891500632,Card Was Delivered To Me By The Post Office,"On December 22, 2018, the Post Office delivered your new card for Receipt Number MSC1891500632, to the address that you gave us.  The tracking number assigned is 9205590153708644099024.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:09 2019,MSC1891500633,Card Was Delivered To Me By The Post Office,"On February 21, 2019, the Post Office delivered your new card for Receipt Number MSC1891500633, to the address that you gave us.  The tracking number assigned is 9205590153708646776305.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:10 2019,MSC1891500634,Card Was Delivered To Me By The Post Office,"On December 22, 2018, the Post Office delivered your new card for Receipt Number MSC1891500634, to the address that you gave us.  The tracking number assigned is 9205590153708644095774.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:10 2019,MSC1891500635,Card Was Delivered To Me By The Post Office,"On January 2, 2019, the Post Office delivered your new card for Receipt Number MSC1891500635, to the address that you gave us.  The tracking number assigned is 9205590153708644392668.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:11 2019,MSC1891500636,Case Was Received,"On July 30, 2018, we received your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500636, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:11 2019,MSC1891500637,Case Closed Benefit Received By Other Means,"On January 7, 2019, we closed your Form I-131, Application for Travel Document, Receipt Number MSC1891500637, because the applicant or petitioner received a status or benefit through other means. If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:45:12 2019,MSC1891500638,Card Was Delivered To Me By The Post Office,"On April 19, 2019, the Post Office delivered your new card for Receipt Number MSC1891500638, to the address that you gave us.  The tracking number assigned is 9205590153708426130976.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:12 2019,MSC1891500639,Case Was Approved,"On April 15, 2019, we approved your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500639. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:12 2019,MSC1891500640,Card Was Delivered To Me By The Post Office,"On March 7, 2019, the Post Office delivered your new card for Receipt Number MSC1891500640, to the address that you gave us.  The tracking number assigned is 9205590153708423828753.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:13 2019,MSC1891500641,Interview Was Completed And My Case Must Be Reviewed,"Your interview for your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500641, was completed, and your case must be reviewed. We will mail you a notice if we make a decision or take further action. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:13 2019,MSC1891500642,Card Was Delivered To Me By The Post Office,"On December 6, 2018, the Post Office delivered your new card for Receipt Number MSC1891500642, to the address that you gave us.  The tracking number assigned is 9205590153708643240977.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:14 2019,MSC1891500643,Card Was Delivered To Me By The Post Office,"On May 4, 2019, the Post Office delivered your new card for Receipt Number MSC1891500643, to the address that you gave us.  The tracking number assigned is 9205590153708650726716.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:14 2019,MSC1891500644,Case Was Approved,"On April 30, 2019, we approved your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500644. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:15 2019,MSC1891500645,Card Was Mailed To Me,"On December 13, 2018, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500645, to the address you gave us.  If you do not receive your card by December 28, 2018, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:45:15 2019,MSC1891500646,Case Was Approved,"On December 7, 2018, we approved your Form I-131, Application for Travel Document, Receipt Number MSC1891500646. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:15 2019,MSC1891500647,Interview Was Scheduled,"On March 29, 2019, we scheduled an interview for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500647.  We will mail you an interview notice.   Please follow any instructions in the notice.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:45:16 2019,MSC1891500648,Case Was Received,"On July 30, 2018, we received your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500648, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:16 2019,MSC1891500649,Case Was Received,"On July 30, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500649, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:17 2019,MSC1891500650,Card Was Delivered To Me By The Post Office,"On January 14, 2019, the Post Office delivered your new card for Receipt Number MSC1891500650, to the address that you gave us.  The tracking number assigned is 9205590153708644845614.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:17 2019,MSC1891500651,Fingerprint Fee Was Received,"On August 3, 2018, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500651. Our National Benefits Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:18 2019,MSC1891500652,Form G-28 Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form G-28, Notice of Entry of Appearance as Attorney or Accredited Representative, Receipt Number MSC1891500652, because it was not filed correctly.  If you wish to be represented, please contact your attorney or accredited representative to submit a new Form G-28 to the USCIS location where your case is pending. For more information on filing a Form G-28, please visit  http://www.uscis.gov/forms/filing-your-form-g-28.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:18 2019,MSC1891500653,Card Was Delivered To Me By The Post Office,"On February 21, 2019, the Post Office delivered your new card for Receipt Number MSC1891500653, to the address that you gave us.  The tracking number assigned is 9205590153708646782962.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:18 2019,MSC1891500654,Interview Was Completed And My Case Must Be Reviewed,"Your interview for your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500654, was completed, and your case must be reviewed. We will mail you a notice if we make a decision or take further action. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:19 2019,MSC1891500655,Interview Was Completed And My Case Must Be Reviewed,"Your interview for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500655, was completed, and your case must be reviewed. We will mail you a notice if we make a decision or take further action. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:19 2019,MSC1891500656,Interview Was Completed And My Case Must Be Reviewed,"Your interview for your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500656, was completed, and your case must be reviewed. We will mail you a notice if we make a decision or take further action. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:20 2019,MSC1891500657,Card Was Delivered To Me By The Post Office,"On January 3, 2019, the Post Office delivered your new card for Receipt Number MSC1891500657, to the address that you gave us.  The tracking number assigned is 9205590153708421220955.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:20 2019,MSC1891500658,Case is Ready to Be Scheduled for An Interview,"As of September 25, 2018, we are ready to schedule your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500658, for an interview.  We will schedule your interview and send you a notice.  Please follow any instructions in the notice.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:45:21 2019,MSC1891500659,Case Was Received,"On July 30, 2018, we received your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500659, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:21 2019,MSC1891500660,Card Was Delivered To Me By The Post Office,"On December 24, 2018, the Post Office delivered your new card for Receipt Number MSC1891500660, to the address that you gave us.  The tracking number assigned is 9205590153708420892924.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:22 2019,MSC1891500661,Case Was Received,"On July 30, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500661, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:22 2019,MSC1891500662,Card Was Delivered To Me By The Post Office,"On April 6, 2019, the Post Office delivered your new card for Receipt Number MSC1891500662, to the address that you gave us.  The tracking number assigned is 9205590153708425452635.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:22 2019,MSC1891500663,Case Was Received,"On July 30, 2018, we received your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500663, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:23 2019,MSC1891500664,Card Was Picked Up By The United States Postal Service,"On February 26, 2019, the Post Office picked up mail containing your new card for Receipt Number MSC1891500664. We mailed your card to the address you gave us. The tracking number assigned is 9205590153708647186257. You can use your tracking number at www.USPS.com in the Quick Tools Tracking section. If you did not receive the card, please go to www.uscis.gov/e-request to request that we resend the card to you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:23 2019,MSC1891500665,Card Was Delivered To Me By The Post Office,"On March 23, 2019, the Post Office delivered your new card for Receipt Number MSC1891500665, to the address that you gave us.  The tracking number assigned is 9205590153708424738761.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:24 2019,MSC1891500666,Case Was Received,"On July 30, 2018, we received your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500666, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:24 2019,MSC1891500667,Case Was Received,"On July 30, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500667, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:25 2019,MSC1891500668,Card Was Delivered To Me By The Post Office,"On February 16, 2019, the Post Office delivered your new card for Receipt Number MSC1891500668, to the address that you gave us.  The tracking number assigned is 9205590153708646662950.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:25 2019,MSC1891500669,Card Was Delivered To Me By The Post Office,"On March 23, 2019, the Post Office delivered your new card for Receipt Number MSC1891500669, to the address that you gave us.  The tracking number assigned is 9205590153708424739300.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:25 2019,MSC1891500670,Case Was Received,"On July 30, 2018, we received your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500670, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:26 2019,MSC1891500671,Card Was Delivered To Me By The Post Office,"On February 16, 2019, the Post Office delivered your new card for Receipt Number MSC1891500671, to the address that you gave us.  The tracking number assigned is 9205590153708646662820.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:26 2019,MSC1891500672,Case Was Received,"On July 30, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500672, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:27 2019,MSC1891500673,Card Was Delivered To Me By The Post Office,"On July 10, 2019, the Post Office delivered your new card for Receipt Number MSC1891500673, to the address that you gave us.  The tracking number assigned is 9205590153708654052521.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:27 2019,MSC1891500674,Interview Was Completed And My Case Must Be Reviewed,"Your interview for your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500674, was completed, and your case must be reviewed. We will mail you a notice if we make a decision or take further action. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:28 2019,MSC1891500675,Case Was Approved,"On January 4, 2019, we approved your Form I-131, Application for Travel Document, Receipt Number MSC1891500675. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:28 2019,MSC1891500676,Card Was Delivered To Me By The Post Office,"On March 8, 2019, the Post Office delivered your new card for Receipt Number MSC1891500676, to the address that you gave us.  The tracking number assigned is 9205590153708423897407.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:29 2019,MSC1891500677,Case Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500677, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
Mon Jul 15 16:45:29 2019,MSC1891500678,Case Rejected Because The Version Of The Form I Sent Is No Longer Accepted,"On August 3, 2018, we rejected your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500678, because you used an old version of the form that we no longer accept.  We mailed your case back to you, including any supporting materials and the payment.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:29 2019,MSC1891500679,Case Rejected Because The Version Of The Form I Sent Is No Longer Accepted,"On August 3, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500679, because you used an old version of the form that we no longer accept.  We mailed your case back to you, including any supporting materials and the payment.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:30 2019,MSC1891500680,Case Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500680, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
Mon Jul 15 16:45:30 2019,MSC1891500681,Case Rejected Because The Version Of The Form I Sent Is No Longer Accepted,"On August 3, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500681, because you used an old version of the form that we no longer accept.  We mailed your case back to you, including any supporting materials and the payment.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:31 2019,MSC1891500682,Case Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500682, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
Mon Jul 15 16:45:31 2019,MSC1891500683,Case Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500683, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
Mon Jul 15 16:45:32 2019,MSC1891500684,Case Was Rejected Because I Did Not Sign My Form,"On August 3, 2018, we rejected your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500684, because you did not sign your form.  We mailed your case back to you, including any supporting materials.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
Mon Jul 15 16:45:32 2019,MSC1891500685,Case Rejected Because I Sent An Incorrect Fee,"On August 3, 2018, we rejected your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500685, because you sent us the incorrect fee.  We mailed your case back to you, including any supporting materials and the incorrect payment.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:33 2019,MSC1891500686,Case Rejected Because I Sent An Incorrect Fee,"On August 3, 2018, we rejected your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500686, because you sent us the incorrect fee.  We mailed your case back to you, including any supporting materials and the incorrect payment.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:45:33 2019,MSC1891500687,Case Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500687, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
